furcht,crainte
täuschung,dol
ablauf von drei,trois
billigkeit,équité
drei,trois
drei jahren,trois
hätte,dû connaître
hätte kennen,dû connaître
jahren,trois
kennen,dû connaître
teilzahlung,paiement partiel
angaben,informations
eigentümer,propriétaire
gefahr,danger
genehmigung,ratification
menschen,homme
monates,mois
notlage,gêne
schadenersatz oder genugtuung,dommageable
schriftliche,forme écrite
schriftliche form,forme écrite
tötung eines menschen,homme
verhalten,dommageable
form,forme
sache,chose
natur,nature
mehrere,plusieurs
irrtum,erreur
bis,jusqu
rückgriff,recours
anbieter,fournisseur
anderes ergibt,contraire ne résulte
anspruch auf schadenersatz,dommageable
ausdrückliche,expresse
bestimmung,fixation
billigkeit entspricht,équité
etwas anderes ergibt,contraire ne résulte
gerechnet,compter du jour
gesetzlich,forme écrite
guten sitten,moeurs
körperverletzung,lésions
rechtsgeschäft,acte juridique
sitten,moeurs
tag,dernier jour
vom tage,compter du jour
umständen,circonstances
schaden,dommage
frist,délai
kunde,acquéreur
richter,juge
schuldner,débiteur
antrag,offre
gläubiger,créancier
forderung,créance
kosten,frais
nachweist,prouve
unterschrift,signature
verjährt,trois
vertragsabschlusses,conclusion du contrat
kenntnis,eu connaissance
bestimmungen,dispositions
antragsteller,lié
eingetreten,prouve qu
entspricht,équité
entstehung,naissance
etwas,contraire ne résulte
etwas anderes,contraire ne résulte
gekannt,connu
guten,moeurs
jedoch,toutefois
kenntnis erhalten,eu connaissance
tötung,homme
vermögen,biens
verweigern,refuser
zeitpunkte,expédiée
öffentlichen,publics
vollmacht,pouvoirs
dritten,tiers
person,personne
anderes,contraire
vollmachtgeber,représenté
ablauf,trois
ergibt,résulte
beginnt,court
bleiben,réservées
erhalten,eu connaissance
ermächtigung,acte juridique
ersatze,réparer
geschehen,avant
handlung,acte illicite
insbesondere,notamment
personen,personnes
verträge,contrats
zahlung,acquitter
tage,jour
gebunden,lié
parteien,parties
erfüllen,exécuter
gemeinsam,plusieurs
genugtuung,titre de réparation
geschäftes,affaire
natur des geschäftes,affaire
schadenersatz,dommageable
wäre,prouve
annahme,acceptation
vertrag,contrat
annahmeerklärung,acceptation
gilt,applique
glauben,foi
widerruf,révocation
wer,celui
andern,autrui
vertrages,contrat
anspruch,trois
vertretene,représenté
verursacht,causé
leistung,prestation
am,jour
vorbehalten,réservées
erkennen,juge peut
ersatzpflichtigen,partie lésée
geschädigte,partie lésée
schädigende,partie lésée
zeit,mois
andere,autre
erfüllung,exécutée
sofern,moins
kunden,acquéreur
bevollmächtigten,représentant
rechtzeitig,temps
vom vollmachtgeber,représenté
